,cod_mod_anexo,ece_imputado,ind_leng_prim_imp,ind_mate_prim_imp
9628,06726340,1,0.71428573,0.0
9629,06727090,1,0.41666666,0.16666667
9630,06727170,1,0.121212125,0.030303031
9631,06727740,1,0.33333334,0.0
9632,06728730,1,0.5957447,0.61702126
9633,06729720,1,0.4,0.2
9634,06730870,1,0.9166667,0.9166666
9635,06731030,1,0.71428573,0.71428573
9636,06731520,1,0.4,0.6
9637,06731600,1,0.8333333,0.8333334
9638,06731860,1,1.0,1.0
9639,06732100,1,0.44444445,0.44444445
9640,06732280,1,0.4117647,0.47058824
9641,06732360,1,0.8,0.2
9642,06732440,1,0.5652174,0.3043478
9643,06733010,1,0.25,0.0
9644,06733190,1,1.0,0.875
9645,06739050,1,0.140625,0.03125
9646,06739130,1,1.0,0.7
9647,06739470,1,0.5,0.125
9648,06739880,1,0.625,0.5
9649,06740440,1,0.0,0.0
9650,06740770,1,0.6666667,0.7777778
9651,06740850,1,0.6363636,0.09090909
9652,06741270,1,0.5,0.0
9653,06741350,1,0.8888889,0.6666667
9654,06741680,1,0.0,0.2
9655,06742260,1,0.0,0.0
9656,06742340,1,0.5,0.375
9657,06742670,1,0.22222222,0.11111111
9658,06748950,1,0.5714286,0.5714286
9659,06749370,1,0.33333334,0.5
9660,06749520,1,0.8,0.6
9661,06749600,1,0.07692308,0.23076923
9662,06749780,1,0.5,0.5
9663,06752980,1,0.1,0.2
9664,06753300,1,0.5652174,0.3478261
9665,06753480,1,0.1764706,0.05882353
9666,06753630,1,0.16666667,0.33333334
9667,06753970,1,0.4117647,0.23529412
9668,06754050,1,0.5,0.5
9669,06754390,1,0.19298245,0.14035088
9670,06754880,1,0.09090909,0.18181819
9671,06755040,1,0.8333333,0.8333334
9672,06755380,1,0.75,0.875
9673,06755530,1,0.72727275,0.27272728
9674,06755610,1,0.36363637,0.27272728
9675,06756110,1,0.4814815,0.4814815
9676,06756370,1,0.42857143,0.2857143
9677,06756450,1,0.78571427,0.85714287
9678,06756780,1,0.625,0.625
9679,06756860,1,0.37209302,0.39534882
9680,06756940,1,0.3888889,0.33333334
9681,06757020,1,0.04,0.0
9682,06757440,1,0.09090909,0.18181819
9683,06757770,1,0.14285715,0.071428575
